MMM, 3M Co
AXP, American Express
T, AT&T
BA, Boeing
CAT, Caterpillar
CVX, Chevron
CSCO, Cisco Systems
DD, Dupont E I De Nemours
XOM, Exxon Mobil
GE, General Electric
GS, Goldman Sachs
HD, Home Depot
INTC, Intel
IBM, International Business Machines
JNJ, Johnson & Johnson
JPM, JPMorgan Chase
MCD, McDonald's
MRK, Merck
MSFT, Microsoft Corp
NKE, Nike
PFE, Pfizer Inc
PG, Procter & Gamble
KO, The Coca-Cola
TRV, Travelers Companies
UTX, United Technologies
UNH, UnitedHealth Group
VZ, Verizon Communications
V, Visa Inc
WMT, Wal-Mart Stores
DIS, Walt Disney
